check_time	memory	cpu
2022-11-18T15:24:05	0	0.0
2022-11-18T15:24:10	0	0.0
2022-11-18T15:24:15	0	0.0
2022-11-18T15:24:20	0	0.0
2022-11-18T15:24:25	0	0.0
2022-11-18T15:24:30	0	0.0
2022-11-18T15:24:35	0	0.0
2022-11-18T15:24:40	511098880	2.3
2022-11-18T15:24:45	511115264	1.9
2022-11-18T15:24:50	511135744	4.5
2022-11-18T15:24:55	512757760	5.3
2022-11-18T15:25:00	512819200	3.7
2022-11-18T15:25:05	512831488	5.4
2022-11-18T15:25:10	512843776	6.4
2022-11-18T15:25:15	512843776	11.9
2022-11-18T15:25:20	512847872	11.9
2022-11-18T15:25:25	512851968	9.7
2022-11-18T15:25:30	512864256	9.5
2022-11-18T15:25:35	512864256	8.8
2022-11-18T15:25:40	515784704	25.1
2022-11-18T15:25:45	515203072	6.1
2022-11-18T15:25:50	515190784	9.9
2022-11-18T15:25:55	515203072	0.9
2022-11-18T15:26:00	515219456	0.9
2022-11-18T15:26:05	515231744	0.7
2022-11-18T15:26:10	515244032	2.0
2022-11-18T15:26:15	515256320	1.1
2022-11-18T15:26:20	515264512	2.1
2022-11-18T15:26:25	515313664	1.9
2022-11-18T15:26:30	507043840	5.9
2022-11-18T15:26:35	444862464	8.7
2022-11-18T15:26:40	377483264	9.6
2022-11-18T15:26:45	377483264	9.6
2022-11-18T15:26:50	377483264	12.3
2022-11-18T15:26:55	377483264	13.1
2022-11-18T15:27:00	377483264	19.5
2022-11-18T15:27:05	377364480	15.7
2022-11-18T15:27:10	374849536	11.2
2022-11-18T15:27:15	374849536	0.1
2022-11-18T15:27:20	374853632	0.7
2022-11-18T15:27:25	374161408	0.0
2022-11-18T15:27:30	374161408	2.0
2022-11-18T15:27:35	374165504	2.3
2022-11-18T15:27:40	374067200	3.5
2022-11-18T15:27:45	374067200	5.0
2022-11-18T15:27:50	374067200	1.9
2022-11-18T15:27:55	374071296	5.2
2022-11-18T15:28:00	374071296	7.7
2022-11-18T15:28:05	374071296	4.9
2022-11-18T15:28:10	374079488	12.4
2022-11-18T15:28:15	374079488	18.8
2022-11-18T15:28:20	374079488	21.5
2022-11-18T15:28:25	374079488	21.5
2022-11-18T15:28:30	374079488	12.4
2022-11-18T15:28:35	374079488	1.7
2022-11-18T15:28:40	374079488	1.4
2022-11-18T15:28:45	374079488	3.1
2022-11-18T15:28:50	374079488	2.3
2022-11-18T15:28:55	374079488	3.9
2022-11-18T15:29:00	374079488	6.8
2022-11-18T15:29:05	374087680	10.8
